time, Quad1.Est.E.VX, Quad2.Est.E.VX, Quad3.Est.E.VX, Quad4.Est.E.VX, Quad5.Est.E.VX, Quad6.Est.E.VX, Quad7.Est.E.VX, Quad8.Est.E.VX, Quad9.Est.E.VX, Quad10.Est.E.VX, Quad1.Est.S.VX, Quad1.Est.S.VX
0.779994,0.009959
0.784993,0.008052
0.789993,0.002432
0.794993,0.003277
0.799993,-0.006631
0.804993,-0.004347
0.809993,-0.002674
0.814993,-0.004487
0.819993,-0.019181
0.824993,-0.015395
0.829993,-0.027149
0.834993,-0.030084
0.839993,-0.030444
0.844993,-0.030853
0.849993,-0.037379
0.854993,-0.036957
0.859993,-0.032187
0.864992,-0.033735
0.869992,-0.034382
0.874992,-0.033715
0.879992,-0.038423
0.884992,-0.039597
0.889992,-0.041791
0.894992,-0.043323
0.899992,-0.046447
0.904992,-0.044288
0.909992,-0.043059
0.914992,-0.043989
0.919992,-0.029704
0.924992,-0.030603
0.929992,-0.013266
0.934992,-0.012980
0.939991,-0.019215
0.944991,-0.020345
0.949991,-0.014668
0.954991,-0.011791
0.959991,-0.008314
0.964991,-0.008870
0.969991,-0.009465
0.974991,-0.011001
0.979991,-0.007455
0.984991,-0.005315
